Табличка / направление,Начало маршрута,Окончание маршрута,Тип рейса
КЛЕВЕР,"Таллинское ш., д. 206",Ст.м. Проспект Ветеранов,Прямой
Кадры 24,Яковлевский переулок 2,"Купчино - Московский пр., 161к13",1/2 круга
Кадры 24,"Московский пр., 161к13",Купчино - Яковлевский переулок 2,1/2 круга
Касимово (школа),Пр.Культуры/ пр.Луначарского,"д.Касимово, Новая ул., 12",Прямой
Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой
Касимово (школа) дети,Пр.Культуры/ пр.Луначарского,"д.Касимово, Новая ул., 12",Прямой
Коломенский,"ул. Салова, 29","Пушкин, Тиньков переулок, 7Д",1/2 круга
Коломенский,"Пушкин, Тиньков переулок, 7Д","ул. Салова, 29",1/2 круга
Коломенский (Гатчина),"Гатчина, Балтийский вокзал","Пушкин, Тиньков переулок, 7Д",1/2 круга
Коломенский (Гатчина),"Пушкин, Тиньков переулок, 7Д","Гатчина, Красноармейский пр., 50",1/2 круга
Коломенский (ЖК Солнечный город),"Пр. Ветеранов, 214","Пушкин, Тиньков переулок, 7Д",1/2 круга
Коломенский (ЖК Солнечный город),"Пушкин, Тиньков переулок, 7Д","Пр. Ветеранов, 183",1/2 круга
Коломенский (Колпино),"Колпино, Привокзальная площадь","Пушкин, Тиньков переулок, 7Д",1/2 круга
Коломенский (Колпино),"Пушкин, Тиньков переулок, 7Д","Колпино, Привокзальная площадь",1/2 круга
Коломенский (Коммунар),"Коммунар, Ленинградское ш., 7А","Пушкин, Тиньков переулок, 7Д",1/2 круга
Коломенский (Коммунар),"Пушкин, Тиньков переулок, 7Д","Коммунар, Ленинградское ш., 7А",1/2 круга
Коломенский (Красное Село),Автобусная станция Красное Село,"Пушкин, Тиньков переулок, 7Д",1/2 круга
Коломенский (Красное Село),"Пушкин, Тиньков переулок, 7Д",Автобусная станция Красное Село,1/2 круга
Коломенский (Ст.м. Московская),"Ст.м. Московская, Демонстрационный проезд","Пушкин, Тиньков переулок, 7Д",1/2 круга
Коломенский (Ст.м. Московская),"Пушкин, Тиньков переулок, 7Д","Ст.м. Московская, Демонстрационный проезд",1/2 круга
Коломенское - Хлебный дом (Смоленская),"Смоленская улица, 18А","Пушкин, Тиньков переулок, 7Д",Прямой
Коломенское - Хлебный дом (Смоленская),"Пушкин, Тиньков переулок, 7Д","Смоленская улица, 18А",Прямой
ЛСР,Ст.м. Гражданский проспект,"Муринская дорога, 10",Прямой
ЛСР,"Муринская дорога, 10",Ст.м. Гражданский проспект,Прямой
ЛСС,Ст.м. Озерки,Аэродром Левашово,Прямой
ЛСС,Аэродром Левашово,Ст.м. Озерки,Прямой
ЛеманаПро (Гатчина),"Гатчина, улица Чехова, 14Ас3","Московское ш., 177А",1/2 круга
ЛеманаПро (Гатчина),"Московское ш., 177А","Гатчина, улица Чехова, 14Ас3",1/2 круга
ЛеманаПро (Колпино),"Колпино, ул. Труда, 22/15","Московское ш., 177А",1/2 круга
ЛеманаПро (Колпино),"Московское ш., 177А","Колпино, ул. Труда, 22/15",1/2 круга
ЛеманаПро (ст.м. Купчино),"Московское ш., 177А",Ст.м. Купчино,Прямой
ЛеманаПро (ст.м. Проспект Ветеранов),Ст.м. Проспект Ветеранов,"Московское ш., 177А",1/2 круга
ЛеманаПро (ст.м. Проспект Ветеранов),"Московское ш., 177А",Ст.м. Проспект Ветеранов,1/2 круга
Лесная Рапсодия,"ул. Савушкина, 13","ЛО, п.Ильичево, Ул. Линтульская аллея, д.8",1/2 круга
Лесная Рапсодия,"ЛО, п.Ильичево, Ул. Линтульская аллея, д.8","ул. Савушкина, 13",1/2 круга
Лесная Рапсодия,"ЛО, п.Ильичево, Ул. Линтульская аллея, д.8",Ст. м. Черная Речка,Прямой
МГ,Дачный 19к1,"Волхонское ш., 6 - Волхонское ш., 4",Прямой
МГ,Дачный 19к1,"Волхонское ш., 6",Прямой
МГ,"Волхонское ш., 4 - Волхонское ш., 6",Дачный 19к1,Прямой
МГ,"Волхонское ш., 6",Дачный 19к1,Прямой
Муринская - Коломенское,"Ул. Ольги Форш, 10","Тиньков переулок, 7Д",Прямой
Муринская - Коломенское,"Тиньков переулок, 7Д","Ул. Ольги Форш, 10",Прямой
Муринская - Хлебный дом - Коломенское,"Ул. Ольги Форш, 10","Тиньков переулок, 7Д",1/2 круга
