Client,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Price_Excl_VAT,Capacity
Бабина и КО,"Ресторан ""В чаще""","Людмилы Кедриной, 23 (Охта парк, через Бугры)",Ст.м.Девяткино,Прямой,20:00:00,20:15:00,3250.0,20.0
Бабина и КО,"Ресторан ""В чаще""","Людмилы Кедриной, 23 (Охта парк, через Бугры)",Ст.м.Девяткино,Прямой,21:00:00,21:15:00,3250.0,20.0
Бабина и КО,"Ресторан ""В чаще""","Людмилы Кедриной, 23 (Охта парк, через Бугры)",Ст.м.Девяткино,Прямой,23:00:00,23:15:00,3250.0,20.0
Бабина и КО,"Ресторан ""В чаще"" (Парнас)",Ст.м. Парнас (через Бугры),"Людмилы Кедриной, 23 (Охта парк)",Прямой,07:30:00,07:40:00,3300.0,20.0
Бабина и КО,"Ресторан ""В чаще"" (Парнас)",Ст.м. Парнас (через Бугры),"Людмилы Кедриной, 23 (Охта парк)",Прямой,10:00:00,10:15:00,3300.0,20.0
Бабина и КО,"Ресторан ""В чаще"" (Парнас)","Мистолово, Фабрика-кухня",Ст.м. Парнас (через Бугры),Прямой,20:00:00,20:10:00,3300.0,20.0
Бабина и КО,"Ресторан ""В чаще"" (Парнас)","Людмилы Кедриной, 23 (Охта парк)",Ст.м. Парнас (через Бугры),Прямой,20:00:00,20:15:00,3300.0,20.0
Бабина и КО,"Ресторан ""В чаще"" (Парнас)","Людмилы Кедриной, 23 (Охта парк)",Ст.м. Парнас (через Бугры),Прямой,21:00:00,21:15:00,3300.0,20.0
Гостинн Сервис (ПанБалтСервис),Таможня,"Московский пр., 193В","Петербургское ш., 62к4 (ПБС)",Прямой,08:35:00,08:35:00,2880.0,20.0
Грин Строй,Пеоли РУС,"Витебский пр., 99 (ст.м. Купчино)","Московское ш., 26 и через откатные ворота к Москоскому ш.56",1/2 круга,09:20:00,09:30:00,1500.0,19.0
Грин Строй,Пеоли РУС,"Московское ш., 26","Витебский пр., 99 (ст.м. Купчино)",1/2 круга,10:20:00,10:30:00,1500.0,19.0
Грин Строй,Пеоли РУС,"Витебский пр., 99 (ст.м. Купчино)","Московское ш., 26 и через откатные ворота к Москоскому ш.64",1/2 круга,21:20:00,21:30:00,1500.0,19.0
Грин Строй,Пеоли РУС,"Московское ш., 26","Витебский пр., 99 (ст.м. Купчино)",1/2 круга,22:20:00,22:30:00,1500.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа),Пр.Культуры/ пр.Луначарского,"д.Касимово, Новая ул., 12",Прямой,08:00:00,08:10:00,3000.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа),Пр.Культуры/ пр.Луначарского,"д.Касимово, Новая ул., 12",Прямой,09:00:00,09:10:00,3000.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,15:05:00,15:15:00,3000.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,16:05:00,16:15:00,3000.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,17:05:00,17:15:00,3000.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,17:15:00,17:25:00,3000.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,17:50:00,18:00:00,3000.0,19.0
ИП Антипенко Юлия Товьевна,Касимово (школа) дети,Пр.Культуры/ пр.Луначарского,"д.Касимово, Новая ул., 12",Прямой,07:50:00,08:00:00,5000.0,20.0
ИП Грушевский Никита Сергеевич,СИП,Корабельная  6,Ленинский пр.100,Прямой,07:20:00,07:30:00,3000.0,19.0
ИП Грушевский Никита Сергеевич,СИП,Ленинский пр.100,Корабельная  6,Прямой,19:00:00,19:10:00,3000.0,19.0
ИП Дмитренко Александр Викторович,"ТИС, ""Сестрорецкий курорт""",Ст.м.Черная Речка,"Сестрорецк, ул. Максима Горького, 2",Прямой,07:20:00,07:30:00,4000.0,19.0
ИП Дмитренко Александр Викторович,"ТИС, ""Сестрорецкий курорт""","Сестрорецк, ул. Максима Горького, 2",Ст.м.Черная Речка,Прямой,17:20:00,17:30:00,4000.0,19.0
ИП Добровольский,OZON Понссе,Дачный 19к1,"Понссе, 20",1/2 круга,08:10:00,08:15:00,3000.0,30.0
ИП Добровольский,OZON Понссе,"Понссе, 20",Дачный 19к1,1/2 круга,09:05:00,09:15:00,3000.0,30.0
ИП Добровольский,OZON Понссе,"Понссе, 20",Дачный 19к1,Прямой,17:50:00,18:00:00,1000.0,8.0
ИП Добровольский,OZON Понссе,Дачный 19к1,"Понссе, 20",1/2 круга,20:10:00,20:15:00,3000.0,30.0
ИП Добровольский,OZON Понссе,Дачный 19к1,"Понссе, 20",1/2 круга,20:05:00,20:15:00,3000.0,30.0
ИП Добровольский,OZON Понссе,"Понссе, 20",Дачный 19к1,1/2 круга,21:05:00,21:15:00,3000.0,30.0
ИП Чумилин,Хлеб и соль,По запросу,По запросу,Прямой,,,,
Интернет-Решения,"OZON Большевиков (Штат Софийская, 118)",Ст.м. Проспект Большевиков,"Софийская, 118 к.4 стр.1",1/2 круга,06:35:00,06:45:00,3750.0,50.0
Интернет-Решения,"OZON Большевиков (Штат Софийская, 118)","Софийская, 118 к.4 стр.1",Ст.м. Проспект Большевиков,1/2 круга,08:15:00,08:25:00,3750.0,50.0
Интернет-Решения,"OZON Большевиков (Штат Софийская, 118)",Ст.м. Проспект Большевиков,"Софийская, 118 к.4 стр.1",1/2 круга,18:25:00,18:35:00,3750.0,50.0
Интернет-Решения,"OZON Большевиков (Штат Софийская, 118)","Софийская, 118 к.4 стр.1",Ст.м. Проспект Большевиков,1/2 круга,20:25:00,20:35:00,3750.0,50.0
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,06:20:00,06:30:00,3100.0,20.0
Интернет-Решения,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,06:20:00,06:30:00,5250.0,35.0
