Template_ID,Customer_ID,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Capacity,Price_Excl_VAT
511,9,OZON Большевиков,"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 145с10",1/2 круга,18:20:00,18:30:00,19.0,3000.0
512,9,OZON Большевиков,"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 145с10",1/2 круга,18:20:00,18:30:00,50.0,3900.0
513,10,OZON Бугры (ст.м. Беговая),Ст.м. Беговая,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:20:00,18:30:00,19.0,2500.0
514,10,OZON Бугры (ст.м. Беговая),Ст.м. Беговая,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:20:00,18:30:00,35.0,3500.0
515,11,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,18:20:00,18:30:00,20.0,3100.0
516,11,"OZON Гатчина (Штат Софийская, 118)","Гатчина, Варшавский вокзал","Софийская, 118 к.4 стр.1",1/2 круга,18:20:00,18:30:00,35.0,5250.0
517,10,OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:20:00,18:30:00,19.0,
518,10,OZON Комендантский,Ст.м. Комендантский пр.,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:20:00,18:30:00,50.0,3500.0
519,14,OZON Комьюнити Заневский,"Заневский пр., 32к2","Софийская, 118 к4 стр.1",1/2 круга,18:20:00,18:30:00,50.0,4000.0
520,14,OZON Комьюнити Минеральная,"ул. Минеральная, 29","Софийская, 118 к4 стр.1",1/2 круга,18:20:00,18:30:00,50.0,7500.0
521,11,"OZON Красноармейская (Штат Софийская, 118)","2-я Красноармейская ул., 1","Софийская, 118 к.4 стр.1",1/2 круга,18:20:00,18:30:00,20.0,3000.0
522,12,OZON ПСЦ Колпино (Кировск),"г. Кировск, Театральная площадь","Колпинское ш., 135с2",1/2 круга,18:20:00,18:30:00,20.0,5000.0
523,12,OZON ПСЦ Колпино (м. Большевиков),"улица Коллонтай, 21к1","Колпинское ш., 135с2",1/2 круга,18:20:00,18:30:00,55.0,3995.0
524,11,"OZON Большевиков (Штат Софийская, 118)",Ст.м. Проспект Большевиков,"Софийская, 118 к.4 стр.1",1/2 круга,18:25:00,18:35:00,50.0,3750.0
525,5,Коломенский (Колпино),"Колпино, Привокзальная площадь","Пушкин, Тиньков переулок, 7Д",1/2 круга,18:30:00,18:40:00,15.0,2500.0
526,7,Хлебный дом (ст.м. Ладожская),"Заневский пр., 42 - Заневский пр., 32","Смоленская улица, 6 (остановка)",1/2 круга,18:35:00,18:40:00,15.0,2500.0
527,10,OZON Бугры (Заневский),"Заневский пр.,32к2","Бугры, Шоссейная ул., 50к1",1/2 круга,18:30:00,18:40:00,19.0,4000.0
528,9,OZON Гатчина,"Гатчина, Варшавский вокзал","Московское ш., 145с10",Прямой,18:25:00,18:40:00,20.0,4000.0
529,12,OZON ПСЦ Колпино (м. Ладожская),Ст.м. Ладожская,"Колпинское ш., 135с2",1/2 круга,18:30:00,18:40:00,20.0,3150.0
530,17,СК-Сервис,Ст.м.Ветеранов,"Петергофское ш., д. 71",1/2 круга,18:45:00,18:45:00,30.0,2200.82
531,7,"Хлебный дом (""Огни залива"")","Ленинский пр., 43","Смоленская улица, 6 (остановка)",1/2 круга,18:35:00,18:45:00,15.0,2500.0
532,7,"Хлебный дом (""Огни залива"")","Ленинский пр., 43","Смоленская улица, 6 (остановка)",1/2 круга,18:35:00,18:45:00,19.0,2500.0
533,7,"Хлебный дом (""Огни залива"")","Ленинский пр., 43","Смоленская улица, 18А",1/2 круга,18:35:00,18:45:00,30.0,4000.0
534,7,Хлебный дом (ст.м. Ладожская),"Заневский пр., 32","Смоленская улица, 6 (остановка)",1/2 круга,18:35:00,18:45:00,15.0,2500.0
535,18,OZON Большевиков (ФФ),"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 141/143",1/2 круга,18:35:00,18:45:00,55.0,3750.0
536,19,OZON ЛЦ Волхонское (Стрельна),"Стрельна, Фронтовая улица, 10Б","Волхонское шоссе, 108с2",1/2 круга,18:35:00,18:45:00,30.0,4500.0
537,19,OZON ЛЦ Волхонское (Стрельна),Ветеранов 183 ,"Волхонское шоссе, 108с2",1/2 круга,18:45:00,18:55:00,50.0,4500.0
538,12,OZON ПСЦ Колпино (Кудрово),"Кудрово, Пражская ул., 9","Колпинское ш., 135с2",1/2 круга,18:35:00,18:45:00,19.0,3200.0
539,20,Дикси-ЮГ (РЦ Шушары),"Колпино, ж/д вокзал","Московское ш., 70к4В",1/2 круга,18:40:00,18:50:00,47.0,3900.0
540,21,Кадры 24,Яковлевский переулок 2,"Купчино - Московский пр., 161к13",1/2 круга,18:40:00,18:50:00,19.0,2500.0
541,7,Хлебный дом (Маршала Тухачевского),"ул. Маршала Тухачевского, 24","Ул. Ольги Форш, 10",1/2 круга,18:40:00,18:50:00,19.0,2500.0
542,18,OZON Большевиков (ФФ),"Большевиков, д.1","Ст.м.Дыбенко - Московское ш., 141/143",1/2 круга,18:40:00,18:50:00,35.0,3750.0
543,10,OZON Бугры (Всеволожск),"Всеволожск, Колтушское шоссе, 39Б","Бугры, Шоссейная ул., 50к1",1/2 круга,18:40:00,18:50:00,30.0,4250.0
544,10,OZON Бугры (ст.м. Дыбенко),Ст.м. Дыбенко,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:40:00,18:50:00,19.0,2650.0
545,10,OZON Бугры (ст.м. Дыбенко),Ст.м. Дыбенко,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:40:00,18:50:00,19.0,4000.0
546,10,OZON Бугры (ст.м. Дыбенко),Ст.м. Дыбенко,"Бугры, Шоссейная ул., 50к1",1/2 круга,18:40:00,18:50:00,55.0,4000.0
547,18,OZON Дыбенко (ФФ),"ул. Дыбенко, 27к4","Московское ш., 141/143",1/2 круга,18:45:00,18:50:00,55.0,3750.0
548,9,OZON Купчино,Ст.м. Купчино,"Московское ш., 145с10",1/2 круга,18:40:00,18:50:00,50.0,3500.0
549,9,OZON Купчино,Ст.м. Купчино,"Московское ш., 145с10",1/2 круга,18:40:00,18:50:00,50.0,5000.0
550,22,OZON ЛЦ Горское (Кудрово),"Кудрово, Новая ул.","Парголово, Горское ш., 6с16",1/2 круга,18:40:00,18:50:00,19.0,2500.0
551,11,"OZON Рыбацкое (Штат Софийская, 118)","Ст.м. Рыбацкое, 3-й Рыбацкий проезд","Софийская, 118 к.4 стр.1",1/2 круга,18:45:00,18:55:00,20.0,1500.0
552,5,Коломенский (Гатчина),"Гатчина, Балтийский вокзал","Пушкин, Тиньков переулок, 7Д",1/2 круга,18:50:00,19:00:00,15.0,3500.0
